Temp,Sat_press,Spec_vol_Sat_liquid,Internal_energy_Sat_liquid,Internal_energy_Evap,Internal_energy_Sat_vapour,Enthalpy_Sat_liquid,Enthalpy_Evap,Enthalpy_Sat_vapour,Entropy_Sat_liquid,Entropy_Evap,Entropy_Sat_vapour 
285,6914.6,0.001349,1253.7,1328.1,2581.8,1263.1,1510.7,2773.7,3.1144,2.7066,5.821
290,7441.8,0.001366,1279.7,1296.9,2576.5,1289.8,1476.9,2766.7,3.1608,2.6225,5.7834
295,7999,0.001384,1306,1264.5,2570.5,1317.1,1441.6,2758.7,3.2076,2.5374,5.745
300,8587.9,0.001404,1332.7,1230.9,2563.6,1344.8,1404.8,2749.6,3.2548,2.4511,5.7059
305,9209.4,0.001425,1360,1195.9,2555.8,1373.1,1366.3,2739.4,3.3024,2.3633,5.6657
310,9865,0.001447,1387.7,1159.3,2547.1,1402,1325.9,2727.9,3.3506,2.2737,5.6243
315,10556,0.001472,1416.1,1121.1,2537.2,1431.6,1283.4,2715,3.3994,2.1821,5.5816
320,11284,0.001499,1445.1,1080.9,2526,1462,1238.5,2700.6,3.4491,2.0881,5.5372
325,12051,0.001528,1475,1038.5,2513.4,1493.4,1191,2684.3,3.4998,1.9911,5.4908
330,12858,0.00156,1505.7,993.5,2499.2,1525.8,1140.3,2666,3.5516,1.8906,5.4422
335,13707,0.001597,1537.5,945.5,2483,1559.4,1086,2645.4,3.605,1.7857,5.3907
340,14601,0.001638,1570.7,893.8,2464.5,1594.6,1027.4,2622,3.6602,1.6756,5.3358
345,15541,0.001685,1605.5,837.7,2443.2,1631.7,963.4,2595.1,3.7179,1.5585,5.2765
350,16529,0.001741,1642.4,775.9,2418.3,1671.2,892.7,2563.9,3.7788,1.4326,5.2114
355,17570,0.001808,1682.2,706.4,2388.6,1714,812.9,2526.9,3.8442,1.2942,5.1384
360,18666,0.001895,1726.2,625.7,2351.9,1761.5,720.1,2481.6,3.9165,1.1373,5.0537
365,19822,0.002015,1777.2,526.4,2303.6,1817.2,605.5,2422.7,4.0004,0.9489,4.9493
370,21044,0.002217,1844.5,385.6,2230.1,1891.2,443.1,2334.3,4.1119,0.689,4.8009
373.95,22064,0.003106,2015.7,0,2015.7,2084.3,0,2084.3,4.407,0,4.407
6.97,1,0.001,29.302,2355.2,2384.5,29.303,2484.4,2513.7,0.1059,8.869,8.9749
13.02,1.5,0.001001,54.686,2338.1,2392.8,54.688,2470.1,2524.7,0.1956,8.6314,8.827
17.5,2,0.001001,73.431,2325.5,2398.9,73.433,2459.5,2532.9,0.2606,8.4621,8.7227
21.08,2.5,0.001002,88.422,2315.4,2403.8,88.424,2451,2539.4,0.3118,8.3302,8.6421
24.08,3,0.001003,100.98,2306.9,2407.9,100.98,2443.9,2544.8,0.3543,8.2222,8.5765
28.96,4,0.001004,121.39,2293.1,2414.5,121.39,2432.3,2553.7,0.4224,8.051,8.4734
32.87,5,0.001005,137.75,2282.1,2419.8,137.75,2423,2560.7,0.4762,7.9176,8.3938
40.29,7.5,0.001008,168.74,2261.1,2429.8,168.75,2405.3,2574,0.5763,7.6738,8.2501
45.81,10,0.00101,191.79,2245.4,2437.2,191.81,2392.1,2583.9,0.6492,7.4996,8.1488
53.97,15,0.001014,225.93,2222.1,2448,225.94,2372.3,2598.3,0.7549,7.2522,8.0071
60.06,20,0.001017,251.4,2204.6,2456,251.42,2357.5,2608.9,0.832,7.0752,7.9073
64.96,25,0.00102,271.93,2190.4,2462.4,271.96,2345.5,2617.5,0.8932,6.937,7.8302
69.09,30,0.001022,289.24,2178.5,2467.7,289.27,2335.3,2624.6,0.9441,6.8234,7.7675
75.86,40,0.001026,317.58,2158.8,2476.3,317.62,2318.4,2636.1,1.0261,6.643,7.6691
81.32,50,0.00103,340.49,2142.7,2483.2,340.54,2304.7,2645.2,1.0912,6.5019,7.5931
